text,label
"Wow should have read the reviews before…Wow should have read the reviews before booking with Expedia! Tried to cancel a rental car lots of running around then I was told that they cannot refund me the insurance that I took for the car even if I never picked up the car! Never using them again!November 30, 2025Unprompted review",0
"I booked a package that included stay…I booked a package that included stay and a rental car through Expedia. Due to a system error on Expedia’s side, I was unable to choose a different drop-off location for the car, and I was forced to return it to the same place I picked it up, even though my return flight was from a different airport. Despite contacting Expedia support multiple times, they did nothing to help me. Because of Expedia’s system issue, I ended up having to pay an additional $400.November 27, 2025Unprompted review",0
"Super badSuper bad. Sometimes agent told me to wait and after sometimes the conversation got left and i had to start the full conversation with another person again. Real real bad. Stay away from expediaNovember 28, 2025Unprompted review",0
"Expensive Holiday for meToo expensive but I have received my £11:32 OneKeyCash!November 25, 2025Unprompted review",0
"No help at allMade a booking in good faith flight and accommodation in August 2026, the accommodation has contacted us to say there is no availability and Expedia should not have booked,  Expedia are now claiming they have been unable to contact the accommodation providers, no offer of alternatives or refund.Have been trying to contact Expedia for over a week now with very little success, their response is that this is all my problem to resolve.I will NOT be using Expedia again. November 28, 2025Unprompted review",0
"Does not operate in good faithOn a last-minute booking in Japan, Expedia provided me with confirmation that I had booked 3 rooms. The hotel's app, however, showed that I had only booked 1 room. This was a non-traditional hotel with no front desk, so had I shown up via taxi with my group only to find out there was only 1 room, we would have been up a creek, so to speak. So I did what I had to do given the glitch and reached out to cancel the booking. Mind  you, this was within 10 minutes. The hotel refused, and so Expedia refused to refund me, despite this being caused by a glitch in either their system or the hotel's. I was forced to dispute the charge with my credit card. October 1, 2025Unprompted review",0
"There was a discrepancy between our…There was a discrepancy between our hotel booking and what Expedia booked for us including we payed for breakfast and that wasn’t on the hotel booking I have been trying to contact Expedia constantly to try and sort this out but it’s impossible you can only get help for the things they present to you on a list, chats get cut short and the App is down They asked me to rate my check in I stated that it was difficult and they turned it around on the the hotel saying to them I gave them a bad review I didn’t! the hotel was fantastic and accommodating with try to make up for Expedia’s mistakes Very frustrating Expedia I just want help sorting this problem out!November 28, 2025Unprompted review",0
"Six different customer service members…Six different customer service members couldn’t contact the hotel I had booked and finally the last phone call I was told refund was available and someone from the refund team would be in contact. Now I’ve received emails saying they are sticking to the policy and no refund available. Shockingly painful experience November 27, 2025Unprompted review",0
"I give it a one because I don’t have an…I give it a one because I don’t have an option for a zero!! This company charged me double the price of my vacation then what I paid for. I liked the commercials and thought that it would be inexpensive or at least save me some money, but they completely screwed us over! We paid more in taxes fees charges, then we did from our ENTIRE trip. I would never trust them and I would never recommend them to even my worst enemy. I will never use them again and I would suggest you do your research before you book. Trust me, it is a scam, when we called customer service, they laughed at us.!! November 3, 2025Unprompted review",0
"Expedia will lie to you and take your moneyExpedia took $111 from my account they claim that American Airlines has it and their policy is not to return it. I contacted American Airlines and they said Expedia has the money and it’s their choice whether or not they return it. I then contacted Expedia who told me once again that American Airlines has the money. I cannot trust Expedia I feel they’re lying to me and I will never use them again over $111 I tell everyone I talk to and I post every chance I get the straight up. Lie is unacceptable. Very bad policy.November 25, 2025Unprompted review",0
"Expedia allows fraudulent listings and leaves customers stranded in foreign countriesExpedia and its partner websites have fraudulent listings for hotels that do not exist. I realized this hotel did not actually exist about an hour after booking, I tried to get in contact with the property not to cancel, but to get more information on the property to verify its legitimacy. Obviously, I did not get a response from a hotel that doesn't exist. Expedia said they would contact them on my behalf to request a refund and their team was also (obviously) not able to get in contact with the property. I found a review from another customer who booked one of these properties and was left stranded with no place to stay with her family in a foreign country. If I can verify these listings don't exist, Expedia can too, but they continue to allow them to operate so they can profit while endangering their customers. November 22, 2025Unprompted review",0
"terrible in everythingNovember 24, 2025Unprompted review",0
"Double charged - Will never use againWill never use again.  Had to book an emergency trip for my wife.  Found the best flight to get her to east coast as quickly as possible and clicked button to purchase.  Website spun for 3 minutes then told me the purchase failed.  Went through the whole process again and got a ticket.  Next, I was getting e-mails showing 2 separate reservations.  Called customer service who assured me the first charge was only a hold and would be cancelled.  A month later, both charges are still on my card.  Expedia swears the first one was cancelled, statement says otherwise, so does the airline.  Credit card company says charge is legitimate and airline won't refund either.  Their website screwed up, but I'm left to spend my time cleaning up the mess, assuming I can.October 20, 2025Unprompted review",1
"No phone numberNo phone number, chat comments disabled, and instructions that don't work to cancel a reservation. HORRIBLE EXPERIENCE!!November 24, 2025Unprompted review",0
"Expedia no partner for guests and hotelsExpedia should partner with hotels and service their mutual guests. When a property does not give availability and does not confirm a reservation expedia sends via email... it is the problem of the hotel and the guest: expedia collects money and is not interested if THEY made a mistake, The hotel and guest should resolve the problem. November 24, 2025Unprompted review",0
